record_id,record_grain,circle,circle_short_name,region_name,state_name,city_name,pr_created_by,project_name,sub_project_name,project_id,site_id,site_name,site_type,technology,budget_category_name,natural_account,po_number,po_line_id,line_number,po_type,po_status,vendor_id,vendor_name,buyer_name,project_manager_name,po_date,delivery_start_date,delivery_end_date,need_by_date,promised_date,payment_terms,po_description,item_code,item_description,material_service,item_head,item_sub,item_sub_sub,uom,unit_price_inr,quantity_ordered,quantity_received_line_total,quantity_cancelled_line_total,quantity_billed_to_date,quantity_open_line_total,po_line_amount_inr,received_amount_line_total_inr,billed_amount_to_date_inr,open_po_amount_inr,line_closure_status,shipment_line_status_code,fulfilment_event_number,receipt_type,grn_service_entry_number,grn_service_entry_date,event_received_quantity,event_accepted_quantity,event_rejected_quantity,event_receipt_amount_inr,receipt_status,inspection_status,rfai_date,isq_short_status,isq_milestone,invoice_number,invoice_date,invoice_quantity,invoice_basic_amount_inr,invoice_tax_amount_inr,invoice_total_amount_inr,invoice_status,three_way_match_status,hold_reason,payment_status,payment_date,po_ageing_days,po_ageing_slab,delivery_delay_days,rfai_ageing_days,rfai_ageing_slab,invoice_ageing_days,invoice_ageing_slab,receipt_completion_pct,billing_completion_pct,delayed_po_flag,invoice_without_receipt_flag,overbilling_flag,closure_readiness_flag,wcc_status,amendment_status,as_of_date
REC-000231,PO_LINE_FULFILMENT_ALLOCATION,Uttar Pradesh West,UPW,North,Uttar Pradesh,Agra,Neha Kulkarni,Uttar Pradesh West Site Power Modernization,Coverage Gaps,PRJ-POWER-UPGRADE-UPW-2025,UPW-AGR-7877,Agra Site 7877,Rooftop Tower,4G/5G,OPEX,610140,PO-2025-00048,PO-2025-00048-001,1,Supply,Partially Fulfilled,V014,Sahasra Telecom Projects,Neha Kulkarni,Nitin Bose,2025-08-08,2025-09-01,2026-02-24,2025-11-08,2025-11-22,30 days from invoice,Supply PO for 24 Core Optical Fibre Cable at Agra Site 7877,MAT-FIBER-24C,24 Core Optical Fibre Cable,Material,Transmission,Optical Fibre,24C OFC,KM,54900,32,16.91,0.00,14.30,15.09,1756800,928359.00,785070.00,828441.00,Partially Fulfilled,Partially Fulfilled,2,GRN,,,0.00,0.00,0.00,0.00,Not Received,Not Applicable,,Not Started,PO Released,,,0.00,0.00,0.00,0.00,Not Invoiced,Not Applicable,,Not Due,,342,>180 days,-62,,,,,52.84,44.69,Y,N,N,N,Not Required,No Amendment,2026-07-16
REC-000232,PO_LINE_FULFILMENT_ALLOCATION,Uttar Pradesh West,UPW,North,Uttar Pradesh,Agra,Neha Kulkarni,Uttar Pradesh West Site Power Modernization,Coverage Gaps,PRJ-POWER-UPGRADE-UPW-2025,UPW-AGR-7877,Agra Site 7877,Rooftop Tower,4G/5G,OPEX,610140,PO-2025-00048,PO-2025-00048-001,1,Supply,Partially Fulfilled,V014,Sahasra Telecom Projects,Neha Kulkarni,Nitin Bose,2025-08-08,2025-09-01,2026-02-24,2025-11-08,2025-11-22,30 days from invoice,Supply PO for 24 Core Optical Fibre Cable at Agra Site 7877,MAT-FIBER-24C,24 Core Optical Fibre Cable,Material,Transmission,Optical Fibre,24C OFC,KM,54900,32,16.91,0.00,14.30,15.09,1756800,928359.00,785070.00,828441.00,Partially Fulfilled,Partially Fulfilled,3,GRN,,,0.00,0.00,0.00,0.00,Not Received,Not Applicable,,Not Started,PO Released,,,0.00,0.00,0.00,0.00,Not Invoiced,Not Applicable,,Not Due,,342,>180 days,13,,,,,52.84,44.69,Y,N,N,N,Not Required,No Amendment,2026-07-16
REC-000233,PO_LINE_FULFILMENT_ALLOCATION,Uttar Pradesh West,UPW,North,Uttar Pradesh,Agra,Neha Kulkarni,Uttar Pradesh West Site Power Modernization,Coverage Gaps,PRJ-POWER-UPGRADE-UPW-2025,UPW-AGR-7877,Agra Site 7877,Rooftop Tower,4G/5G,OPEX,610140,PO-2025-00048,PO-2025-00048-001,1,Supply,Partially Fulfilled,V014,Sahasra Telecom Projects,Neha Kulkarni,Nitin Bose,2025-08-08,2025-09-01,2026-02-24,2025-11-08,2025-11-22,30 days from invoice,Supply PO for 24 Core Optical Fibre Cable at Agra Site 7877,MAT-FIBER-24C,24 Core Optical Fibre Cable,Material,Transmission,Optical Fibre,24C OFC,KM,54900,32,16.91,0.00,14.30,15.09,1756800,928359.00,785070.00,828441.00,Partially Fulfilled,Partially Fulfilled,4,GRN,,,0.00,0.00,0.00,0.00,Not Received,Not Applicable,,Not Started,PO Released,,,0.00,0.00,0.00,0.00,Not Invoiced,Not Applicable,,Not Due,,342,>180 days,-30,,,,,52.84,44.69,Y,N,N,N,Not Required,No Amendment,2026-07-16
REC-000234,PO_LINE_FULFILMENT_ALLOCATION,West Bengal,WB,East,West Bengal,Siliguri,Neha Kulkarni,West Bengal 5G Network Expansion,Phase 1 Urban,PRJ-5G-ROLLOUT-WB-2026,WB-SIL-9936,Siliguri Site 9936,Ground Based Tower,Transmission,CAPEX,620250,PO-2026-00049,PO-2026-00049-001,1,Supply,Partially Fulfilled,V012,Metro Diesel & Energy Systems,Neha Kulkarni,Ananya Rao,2026-04-12,2026-04-19,2026-10-20,2026-06-07,2026-06-11,60 days from invoice,Supply PO for 5G Remote Radio Unit at Siliguri Site 9936,MAT-RRU-5G,5G Remote Radio Unit,Material,Active Equipment,Radio Equipment,5G RRU,EA,188700,11,4.78,0,1.14,6.22,2075700,901986.0,215118.0,1173714.0,Partially Fulfilled,Partially Fulfilled,1,GRN,GRN-2026-000234,2026-06-03,1.38,1.34,0.04,252858.0,Partially Accepted,Passed with Rejection,2026-06-02,Closed,Installation Completed,INV-V012-2026-000234,2026-07-10,1.14,215118.0,38721.24,253839.24,On Hold,Price Variance,Tax validation pending,On Hold,,95,91-180 days,-8,44,31-60 days,6,0-30 days,43.45,10.36,Y,N,N,N,Not Required,No Amendment,2026-07-16
REC-000235,PO_LINE_FULFILMENT_ALLOCATION,West Bengal,WB,East,West Bengal,Siliguri,Neha Kulkarni,West Bengal 5G Network Expansion,Phase 1 Urban,PRJ-5G-ROLLOUT-WB-2026,WB-SIL-9936,Siliguri Site 9936,Ground Based Tower,Transmission,CAPEX,620250,PO-2026-00049,PO-2026-00049-001,1,Supply,Partially Fulfilled,V012,Metro Diesel & Energy Systems,Neha Kulkarni,Ananya Rao,2026-04-12,2026-04-19,2026-10-20,2026-06-07,2026-06-11,60 days from invoice,Supply PO for 5G Remote Radio Unit at Siliguri Site 9936,MAT-RRU-5G,5G Remote Radio Unit,Material,Active Equipment,Radio Equipment,5G RRU,EA,188700,11,4.78,0,2.68,6.22,2075700,901986.0,505716.0,1173714.0,Partially Fulfilled,Partially Fulfilled,2,GRN,GRN-2026-000235,2026-06-10,2.21,2.14,0.07,403818.0,Partially Accepted,Passed with Rejection,2026-06-10,Closed,Site Acceptance,INV-V012-2026-000235,2026-07-11,1.54,290598.0,52307.64,342905.64,Approved,Matched,,Due,,95,91-180 days,-1,36,31-60 days,5,0-30 days,43.45,24.36,Y,N,N,N,Not Required,No Amendment,2026-07-16
REC-000236,PO_LINE_FULFILMENT_ALLOCATION,West Bengal,WB,East,West Bengal,Siliguri,Neha Kulkarni,West Bengal 5G Network Expansion,Phase 1 Urban,PRJ-5G-ROLLOUT-WB-2026,WB-SIL-9936,Siliguri Site 9936,Ground Based Tower,Transmission,CAPEX,620250,PO-2026-00049,PO-2026-00049-001,1,Supply,Partially Fulfilled,V012,Metro Diesel & Energy Systems,Neha Kulkarni,Ananya Rao,2026-04-12,2026-04-19,2026-10-20,2026-06-07,2026-06-11,60 days from invoice,Supply PO for 5G Remote Radio Unit at Siliguri Site 9936,MAT-RRU-5G,5G Remote Radio Unit,Material,Active Equipment,Radio Equipment,5G RRU,EA,188700,11,4.78,0,2.68,6.22,2075700,901986.0,505716.0,1173714.0,Partially Fulfilled,Partially Fulfilled,3,GRN,GRN-2026-000236,2026-06-29,1.19,1.14,0.05,215118.0,Partially Accepted,Passed with Rejection,2026-06-28,Accepted,Installation Completed,,,0,0,0,0,Not Invoiced,Not Applicable,,Not Due,,95,91-180 days,18,18,0-30 days,,,43.45,24.36,Y,N,N,N,Not Required,No Amendment,2026-07-16
REC-000237,PO_LINE_FULFILMENT_ALLOCATION,West Bengal,WB,East,West Bengal,Siliguri,Neha Kulkarni,West Bengal 5G Network Expansion,Phase 1 Urban,PRJ-5G-ROLLOUT-WB-2026,WB-SIL-1279,Siliguri Site 1279,Pole Site,4G/5G,CAPEX,620250,PO-2026-00049,PO-2026-00049-002,2,Supply,Open,V012,Metro Diesel & Energy Systems,Neha Kulkarni,Ananya Rao,2026-04-12,2026-04-19,2026-10-20,2026-06-17,2026-06-24,60 days from invoice,Supply PO for 5G Baseband Unit at Siliguri Site 1279,MAT-BBU-5G,5G Baseband Unit,Material,Active Equipment,Baseband,5G BBU,EA,347400,12,0.00,0.00,0.00,12.00,4168800,0.00,0.00,4168800.00,Open - Unfulfilled,Open - Unfulfilled,1,GRN,,,0.00,0.00,0.00,0.00,Not Received,Not Applicable,,Not Started,PO Released,,,0.00,0.00,0.00,0.00,Not Invoiced,Not Applicable,,Not Due,,95,91-180 days,-31,,,,,0.00,0.00,Y,N,N,N,Not Required,No Amendment,2026-07-16
REC-000238,PO_LINE_FULFILMENT_ALLOCATION,West Bengal,WB,East,West Bengal,Siliguri,Neha Kulkarni,West Bengal 5G Network Expansion,Phase 1 Urban,PRJ-5G-ROLLOUT-WB-2026,WB-SIL-1279,Siliguri Site 1279,Pole Site,4G/5G,CAPEX,620250,PO-2026-00049,PO-2026-00049-002,2,Supply,Open,V012,Metro Diesel & Energy Systems,Neha Kulkarni,Ananya Rao,2026-04-12,2026-04-19,2026-10-20,2026-06-17,2026-06-24,60 days from invoice,Supply PO for 5G Baseband Unit at Siliguri Site 1279,MAT-BBU-5G,5G Baseband Unit,Material,Active Equipment,Baseband,5G BBU,EA,347400,12,0.00,0.00,0.00,12.00,4168800,0.00,0.00,4168800.00,Open - Unfulfilled,Open - Unfulfilled,2,GRN,,,0.00,0.00,0.00,0.00,Not Received,Not Applicable,,Not Started,PO Released,,,0.00,0.00,0.00,0.00,Not Invoiced,Not Applicable,,Not Due,,95,91-180 days,-57,,,,,0.00,0.00,Y,N,N,N,Not Required,No Amendment,2026-07-16
REC-000239,PO_LINE_FULFILMENT_ALLOCATION,West Bengal,WB,East,West Bengal,Siliguri,Neha Kulkarni,West Bengal 5G Network Expansion,Phase 1 Urban,PRJ-5G-ROLLOUT-WB-2026,WB-SIL-7471,Siliguri Site 7471,Small Cell,Transmission,CAPEX,620250,PO-2026-00049,PO-2026-00049-003,3,Supply,Partially Fulfilled,V012,Metro Diesel & Energy Systems,Neha Kulkarni,Ananya Rao,2026-04-12,2026-04-19,2026-10-20,2026-07-11,2026-07-20,60 days from invoice,Supply PO for 1 Gbps Microwave Radio Link at Siliguri Site 7471,MAT-MW-1G,1 Gbps Microwave Radio Link,Material,Transmission,Microwave,Microwave Link,PAIR,234100,4,1.75,0.99,0,1.26,936400,409675.0,0,294966.0,Partially Fulfilled,Partially Fulfilled,1,GRN,GRN-2026-000239,2026-06-19,1.62,1.51,0.11,353491.0,Partially Accepted,Passed with Rejection,2026-06-15,Closed,Installation Completed,,,0,0,0,0,Not Invoiced,Not Applicable,,Not Due,,95,91-180 days,-31,31,31-60 days,,,43.75,0.0,N,N,N,N,Not Required,No Amendment,2026-07-16
REC-000240,PO_LINE_FULFILMENT_ALLOCATION,West Bengal,WB,East,West Bengal,Siliguri,Neha Kulkarni,West Bengal 5G Network Expansion,Phase 1 Urban,PRJ-5G-ROLLOUT-WB-2026,WB-SIL-7471,Siliguri Site 7471,Small Cell,Transmission,CAPEX,620250,PO-2026-00049,PO-2026-00049-003,3,Supply,Partially Fulfilled,V012,Metro Diesel & Energy Systems,Neha Kulkarni,Ananya Rao,2026-04-12,2026-04-19,2026-10-20,2026-07-11,2026-07-20,60 days from invoice,Supply PO for 1 Gbps Microwave Radio Link at Siliguri Site 7471,MAT-MW-1G,1 Gbps Microwave Radio Link,Material,Transmission,Microwave,Microwave Link,PAIR,234100,4,1.75,0.99,0,1.26,936400,409675.0,0,294966.0,Partially Fulfilled,Partially Fulfilled,2,GRN,GRN-2026-000240,2026-06-28,0.13,0.13,0.0,30433.0,Accepted,Passed,2026-06-27,Completed,Installation Completed,,,0,0,0,0,Not Invoiced,Not Applicable,,Not Due,,95,91-180 days,-22,19,0-30 days,,,43.75,0.0,N,N,N,N,Not Required,Under Amendment,2026-07-16
REC-000241,PO_LINE_FULFILMENT_ALLOCATION,Tamil Nadu,TN,South,Tamil Nadu,Salem,Neha Kulkarni,Tamil Nadu New Tower Rollout,Priority Sites,PRJ-TOWER-NEWBUILD-TN-2025,TN-SAL-6848,Salem Site 6848,Ground Based Tower,Transmission,CAPEX,610140,PO-2025-00050,PO-2025-00050-001,1,Service,Open,V006,Vertex Civil & Electrical Works,Neha Kulkarni,Rahul Deshmukh,2025-07-26,2025-08-15,2026-01-08,2025-11-18,2025-11-23,45 days from invoice,Service PO for RF equipment installation and commissioning at Salem Site 6848,SRV-RF-INSTALL,RF equipment installation and commissioning,Service,Installation Services,RF Installation,Commissioning,SITE,97500,24,0,0,0,24,2340000,0,0,2340000,Open,Open,1,Service Entry Sheet,,,0,0,0,0,Not Received,Not Applicable,,Not Started,PO Released,,,0,0,0,0,Not Invoiced,Not Applicable,,Not Due,,355,>180 days,235,,,,,0.0,0.0,Y,N,N,N,Pending,No Amendment,2026-07-16
REC-000242,PO_LINE_FULFILMENT_ALLOCATION,Tamil Nadu,TN,South,Tamil Nadu,Salem,Neha Kulkarni,Tamil Nadu New Tower Rollout,Priority Sites,PRJ-TOWER-NEWBUILD-TN-2025,TN-SAL-6848,Salem Site 6848,Ground Based Tower,Transmission,CAPEX,610140,PO-2025-00050,PO-2025-00050-001,1,Service,Open,V006,Vertex Civil & Electrical Works,Neha Kulkarni,Rahul Deshmukh,2025-07-26,2025-08-15,2026-01-08,2025-11-18,2025-11-23,45 days from invoice,Service PO for RF equipment installation and commissioning at Salem Site 6848,SRV-RF-INSTALL,RF equipment installation and commissioning,Service,Installation Services,RF Installation,Commissioning,SITE,97500,24,0,0,0,24,2340000,0,0,2340000,Open,Open,2,Service Entry Sheet,,,0,0,0,0,Not Received,Not Applicable,,Not Started,PO Released,,,0,0,0,0,Not Invoiced,Not Applicable,,Not Due,,355,>180 days,235,,,,,0.0,0.0,Y,N,N,N,Submitted,No Amendment,2026-07-16
REC-000243,PO_LINE_FULFILMENT_ALLOCATION,Tamil Nadu,TN,South,Tamil Nadu,Salem,Neha Kulkarni,Tamil Nadu New Tower Rollout,Priority Sites,PRJ-TOWER-NEWBUILD-TN-2025,TN-SAL-6848,Salem Site 6848,Ground Based Tower,Transmission,CAPEX,610140,PO-2025-00050,PO-2025-00050-001,1,Service,Open,V006,Vertex Civil & Electrical Works,Neha Kulkarni,Rahul Deshmukh,2025-07-26,2025-08-15,2026-01-08,2025-11-18,2025-11-23,45 days from invoice,Service PO for RF equipment installation and commissioning at Salem Site 6848,SRV-RF-INSTALL,RF equipment installation and commissioning,Service,Installation Services,RF Installation,Commissioning,SITE,97500,24,0,0,0,24,2340000,0,0,2340000,Open,Open,3,Service Entry Sheet,,,0,0,0,0,Not Received,Not Applicable,,Not Started,PO Released,,,0,0,0,0,Not Invoiced,Not Applicable,,Not Due,,355,>180 days,235,,,,,0.0,0.0,Y,N,N,N,Approved,No Amendment,2026-07-16
REC-000244,PO_LINE_FULFILMENT_ALLOCATION,Tamil Nadu,TN,South,Tamil Nadu,Salem,Neha Kulkarni,Tamil Nadu New Tower Rollout,Priority Sites,PRJ-TOWER-NEWBUILD-TN-2025,TN-SAL-5290,Salem Site 5290,IBS,5G,CAPEX,610140,PO-2025-00050,PO-2025-00050-002,2,Service,Finally Closed,V006,Vertex Civil & Electrical Works,Neha Kulkarni,Rahul Deshmukh,2025-07-26,2025-08-15,2026-01-08,2025-10-23,2025-10-25,45 days from invoice,Service PO for RF and structural site survey at Salem Site 5290,SRV-SURVEY,RF and structural site survey,Service,Professional Services,Survey,Site Survey,SITE,36100,8,8.0,0,2.66,0,288800,288800.0,96026.0,0,Fully Fulfilled,Fully Fulfilled,1,Service Entry Sheet,SES-2025-000244,2025-09-09,3.66,3.66,0.0,132126.0,Accepted,Passed,2025-09-09,Completed,Milestone Certified,INV-V006-2025-000244,2025-10-23,2.66,96026.0,17284.68,113310.68,Paid,Matched,,Paid,2025-12-23,355,>180 days,-46,310,>180 days,266,>180 days,100.0,33.25,N,N,N,Y,Pending,No Amendment,2026-07-16
REC-000245,PO_LINE_FULFILMENT_ALLOCATION,Tamil Nadu,TN,South,Tamil Nadu,Salem,Neha Kulkarni,Tamil Nadu New Tower Rollout,Priority Sites,PRJ-TOWER-NEWBUILD-TN-2025,TN-SAL-5290,Salem Site 5290,IBS,5G,CAPEX,610140,PO-2025-00050,PO-2025-00050-002,2,Service,Fully Fulfilled,V006,Vertex Civil & Electrical Works,Neha Kulkarni,Rahul Deshmukh,2025-07-26,2025-08-15,2026-01-08,2025-10-23,2025-10-25,45 days from invoice,Service PO for RF and structural site survey at Salem Site 5290,SRV-SURVEY,RF and structural site survey,Service,Professional Services,Survey,Site Survey,SITE,36100,8,8.0,0,5.56,0,288800,288800.0,200716.0,0,Fully Fulfilled,Fully Fulfilled,2,Service Entry Sheet,SES-2025-000245,2025-10-12,4.34,4.34,0.0,156674.0,Accepted,Passed,2025-10-11,Accepted,Service Entry Approved,INV-V006-2025-000245,2025-10-31,2.9,104690.0,18844.2,123534.2,Approved,Matched,,Overdue,,355,>180 days,-13,278,>180 days,258,>180 days,100.0,69.5,N,N,N,Y,Pending,No Amendment,2026-07-16
REC-000246,PO_LINE_FULFILMENT_ALLOCATION,Maharashtra,MH,West,Maharashtra,Nagpur,Amit Sharma,Maharashtra 4G Capacity Densification,Coverage Gaps,PRJ-4G-DENS-MH-2025,MH-NAG-8216,Nagpur Site 8216,Rooftop Tower,Transmission,CAPEX,620250,PO-2025-00051,PO-2025-00051-001,1,Service,Partially Fulfilled,V007,Orbit Fibre Networks Ltd,Amit Sharma,Nitin Bose,2025-11-16,2025-12-05,2026-02-15,2026-04-02,2026-04-07,90 days from invoice,Service PO for Site security and access management at Nagpur Site 8216,SRV-SECURITY,Site security and access management,Service,Managed Services,Site Security,Security Service,MONTH,19700,59,22.15,0.00,19.10,36.85,1162300,436355.00,376270.00,725945.00,Partially Fulfilled,Partially Fulfilled,1,Service Entry Sheet,SES-2026-000246,2026-01-13,22.15,22.15,0.00,436355.00,Accepted,Passed,2025-11-23,Closed,Work Completion Confirmed,INV-V007-2026-000246,2026-02-11,19.10,376270.00,67728.60,443998.60,Approved,Matched,,Overdue,,242,>180 days,-133,235,>180 days,155,91-180 days,37.54,32.37,Y,N,N,N,Pending,No Amendment,2026-07-16
REC-000247,PO_LINE_FULFILMENT_ALLOCATION,Maharashtra,MH,West,Maharashtra,Nagpur,Amit Sharma,Maharashtra 4G Capacity Densification,Coverage Gaps,PRJ-4G-DENS-MH-2025,MH-NAG-8327,Nagpur Site 8327,Pole Site,Transmission,CAPEX,620250,PO-2025-00051,PO-2025-00051-002,2,Service,Open,V007,Orbit Fibre Networks Ltd,Amit Sharma,Nitin Bose,2025-11-16,2025-12-05,2026-02-15,2025-12-14,2025-12-14,90 days from invoice,Service PO for Optical fibre trenching and laying at Nagpur Site 8327,SRV-OFC-LAY,Optical fibre trenching and laying,Service,Network Services,Fibre Deployment,OFC Laying,KM,103700,14,0.00,0.00,0.00,14.00,1451800,0.00,0.00,1451800.00,Open - Unfulfilled,Open - Unfulfilled,1,Service Entry Sheet,,,0.00,0.00,0.00,0.00,Not Received,Not Applicable,,Not Started,PO Released,,,0.00,0.00,0.00,0.00,Not Invoiced,Not Applicable,,Not Due,,242,>180 days,17,,,,,0.00,0.00,Y,N,N,N,Pending,No Amendment,2026-07-16
REC-000248,PO_LINE_FULFILMENT_ALLOCATION,Maharashtra,MH,West,Maharashtra,Nagpur,Amit Sharma,Maharashtra 4G Capacity Densification,Coverage Gaps,PRJ-4G-DENS-MH-2025,MH-NAG-8327,Nagpur Site 8327,Pole Site,Transmission,CAPEX,620250,PO-2025-00051,PO-2025-00051-002,2,Service,Open,V007,Orbit Fibre Networks Ltd,Amit Sharma,Nitin Bose,2025-11-16,2025-12-05,2026-02-15,2025-12-14,2025-12-14,90 days from invoice,Service PO for Optical fibre trenching and laying at Nagpur Site 8327,SRV-OFC-LAY,Optical fibre trenching and laying,Service,Network Services,Fibre Deployment,OFC Laying,KM,103700,14,0.00,0.00,0.00,14.00,1451800,0.00,0.00,1451800.00,Open - Unfulfilled,Open - Unfulfilled,2,Service Entry Sheet,,,0.00,0.00,0.00,0.00,Not Received,Not Applicable,,Not Started,PO Released,,,0.00,0.00,0.00,0.00,Not Invoiced,Not Applicable,,Not Due,,242,>180 days,-19,,,,,0.00,0.00,Y,N,N,N,Submitted,No Amendment,2026-07-16
REC-000249,PO_LINE_FULFILMENT_ALLOCATION,Maharashtra,MH,West,Maharashtra,Nagpur,Amit Sharma,Maharashtra 4G Capacity Densification,Coverage Gaps,PRJ-4G-DENS-MH-2025,MH-NAG-8028,Nagpur Site 8028,Ground Based Tower,4G,CAPEX,620250,PO-2025-00051,PO-2025-00051-003,3,Service,Fully Fulfilled,V007,Orbit Fibre Networks Ltd,Amit Sharma,Nitin Bose,2025-11-16,2025-12-05,2026-02-15,2026-02-21,2026-03-05,90 days from invoice,Service PO for Site acquisition and statutory liaison at Nagpur Site 8028,SRV-SITE-ACQ,Site acquisition and statutory liaison,Service,Professional Services,Site Acquisition,Site Acquisition,SITE,210700,3,3.0,0,0.36,0,632100,632100.0,75852.0,0,Fully Fulfilled,Fully Fulfilled,1,Service Entry Sheet,SES-2026-000249,2026-01-09,0.52,0.52,0.0,109564.0,Accepted,Passed,2026-01-07,Closed,Service Entry Approved,INV-V007-2026-000249,2026-02-12,0.36,75852.0,13653.36,89505.36,Approved,Matched,,Overdue,,242,>180 days,-55,190,>180 days,154,91-180 days,100.0,12.0,N,N,N,Y,Not Required,No Amendment,2026-07-16
REC-000250,PO_LINE_FULFILMENT_ALLOCATION,Maharashtra,MH,West,Maharashtra,Nagpur,Amit Sharma,Maharashtra 4G Capacity Densification,Coverage Gaps,PRJ-4G-DENS-MH-2025,MH-NAG-8028,Nagpur Site 8028,Ground Based Tower,4G,CAPEX,620250,PO-2025-00051,PO-2025-00051-003,3,Service,Fully Fulfilled,V007,Orbit Fibre Networks Ltd,Amit Sharma,Nitin Bose,2025-11-16,2025-12-05,2026-02-15,2026-02-21,2026-03-05,90 days from invoice,Service PO for Site acquisition and statutory liaison at Nagpur Site 8028,SRV-SITE-ACQ,Site acquisition and statutory liaison,Service,Professional Services,Site Acquisition,Site Acquisition,SITE,210700,3,3.0,0,0.36,0,632100,632100.0,75852.0,0,Fully Fulfilled,Fully Fulfilled,2,Service Entry Sheet,SES-2025-000250,2025-12-23,2.19,2.19,0.0,461433.0,Accepted,Passed,2025-12-21,Accepted,Milestone Certified,,,0,0,0,0,Not Invoiced,Not Applicable,,Not Due,,242,>180 days,-72,207,>180 days,,,100.0,12.0,N,N,N,N,Approved,Amended,2026-07-16
REC-000251,PO_LINE_FULFILMENT_ALLOCATION,Maharashtra,MH,West,Maharashtra,Nagpur,Amit Sharma,Maharashtra 4G Capacity Densification,Coverage Gaps,PRJ-4G-DENS-MH-2025,MH-NAG-8028,Nagpur Site 8028,Ground Based Tower,4G,CAPEX,620250,PO-2025-00051,PO-2025-00051-003,3,Service,Finally Closed,V007,Orbit Fibre Networks Ltd,Amit Sharma,Nitin Bose,2025-11-16,2025-12-05,2026-02-15,2026-02-21,2026-03-05,90 days from invoice,Service PO for Site acquisition and statutory liaison at Nagpur Site 8028,SRV-SITE-ACQ,Site acquisition and statutory liaison,Service,Professional Services,Site Acquisition,Site Acquisition,SITE,210700,3,3.0,0,0.65,0,632100,632100.0,136955.0,0,Fully Fulfilled,Fully Fulfilled,3,Service Entry Sheet,SES-2025-000251,2025-12-15,0.29,0.29,0.0,61103.0,Accepted,Passed,2025-12-10,Accepted,Work Completion Confirmed,INV-V007-2025-000251,2025-12-23,0.29,61103.0,10998.54,72101.54,Paid,Matched,,Paid,2026-02-25,242,>180 days,-80,218,>180 days,205,>180 days,100.0,21.67,N,N,N,Y,Pending,No Amendment,2026-07-16
REC-000252,PO_LINE_FULFILMENT_ALLOCATION,Maharashtra,MH,West,Maharashtra,Kolhapur,Meera Nair,Maharashtra Site Power Modernization,Coverage Gaps,PRJ-POWER-UPGRADE-MH-2025,MH-KOL-5709,Kolhapur Site 5709,Small Cell,Transmission,CAPEX,610140,PO-2025-00052,PO-2025-00052-001,1,Service,Finally Closed,V014,Sahasra Telecom Projects,Meera Nair,Nitin Bose,2025-08-05,2025-08-25,2025-11-30,2025-10-04,2025-10-18,30 days from invoice,Service PO for Diesel generator annual maintenance at Kolhapur Site 5709,SRV-DG-AMC,Diesel generator annual maintenance,Service,Managed Services,Power O&M,DG AMC,YEAR,82400,4,4.0,0,3.82,0,329600,329600.0,314768.0,0,Fully Fulfilled,Fully Fulfilled,1,Service Entry Sheet,SES-2025-000252,2025-08-27,4.0,4.0,0.0,329600.0,Accepted,Passed,2025-08-26,Completed,Work Completion Confirmed,INV-V014-2025-000252,2025-08-28,3.82,314768.0,56658.24,371426.24,Paid,Matched,,Paid,2025-10-06,345,>180 days,-52,324,>180 days,322,>180 days,100.0,95.5,N,N,N,Y,Pending,No Amendment,2026-07-16
REC-000253,PO_LINE_FULFILMENT_ALLOCATION,Tamil Nadu,TN,South,Tamil Nadu,Coimbatore,Priya Iyer,Tamil Nadu Site Power Modernization,Phase 2 Rural,PRJ-POWER-UPGRADE-TN-2025,TN-COI-3273,Coimbatore Site 3273,Pole Site,4G/5G,CAPEX,610140,PO-2025-00053,PO-2025-00053-001,1,Service,Open,V003,Skyline Passive Infra Solutions,Priya Iyer,Vikram Singh,2025-08-20,2025-09-14,2026-01-04,2025-12-31,2026-01-14,45 days from invoice,Service PO for Site security and access management at Coimbatore Site 3273,SRV-SECURITY,Site security and access management,Service,Managed Services,Site Security,Security Service,MONTH,19200,34,0.00,0.00,0.00,34.00,652800,0.00,0.00,652800.00,Open - Unfulfilled,Open - Unfulfilled,1,Service Entry Sheet,,,0.00,0.00,0.00,0.00,Not Received,Not Applicable,,Not Started,PO Released,,,0.00,0.00,0.00,0.00,Not Invoiced,Not Applicable,,Not Due,,330,>180 days,-23,,,,,0.00,0.00,Y,N,N,N,Submitted,No Amendment,2026-07-16
REC-000254,PO_LINE_FULFILMENT_ALLOCATION,Tamil Nadu,TN,South,Tamil Nadu,Coimbatore,Priya Iyer,Tamil Nadu Site Power Modernization,Phase 2 Rural,PRJ-POWER-UPGRADE-TN-2025,TN-COI-3273,Coimbatore Site 3273,Pole Site,4G/5G,CAPEX,610140,PO-2025-00053,PO-2025-00053-001,1,Service,Open,V003,Skyline Passive Infra Solutions,Priya Iyer,Vikram Singh,2025-08-20,2025-09-14,2026-01-04,2025-12-31,2026-01-14,45 days from invoice,Service PO for Site security and access management at Coimbatore Site 3273,SRV-SECURITY,Site security and access management,Service,Managed Services,Site Security,Security Service,MONTH,19200,34,0.00,0.00,0.00,34.00,652800,0.00,0.00,652800.00,Open - Unfulfilled,Open - Unfulfilled,2,Service Entry Sheet,,,0.00,0.00,0.00,0.00,Not Received,Not Applicable,,Not Started,PO Released,,,0.00,0.00,0.00,0.00,Not Invoiced,Not Applicable,,Not Due,,330,>180 days,1,,,,,0.00,0.00,Y,N,N,N,Submitted,Under Amendment,2026-07-16
